Date,Close/Last,Volume,Open,High,Low
04/27/2022,$247.14,2706541,$247.98,$250.965,$247.05
04/26/2022,$248.58,2948548,$250.13,$252.41,$248.33
04/25/2022,$252.88,2522972,$249.45,$253.13,$247.93
04/22/2022,$250.17,2643584,$255.00,$255.00,$249.94
04/21/2022,$255.25,2477103,$257.65,$259.605,$254.88
04/20/2022,$255.85,2278773,$256.00,$257.79,$254.82
04/19/2022,$255.40,2324504,$250.04,$255.955,$250.04
04/18/2022,$251.06,1426617,$249.63,$252.49,$249.13
04/14/2022,$250.51,2105884,$251.33,$253.73,$250.43
04/13/2022,$251.33,2133851,$249.36,$251.66,$249.02
04/12/2022,$249.17,2725083,$250.73,$252.29,$248.80
04/11/2022,$250.45,2326660,$251.25,$252.938,$249.93
04/08/2022,$251.46,2551093,$253.04,$255.07,$250.92
04/07/2022,$254.36,4041798,$250.79,$255.475,$249.54
04/06/2022,$251.46,2885998,$247.64,$252.38,$245.98
04/05/2022,$248.51,2532511,$246.10,$249.739,$245.43
04/04/2022,$246.83,2501545,$246.79,$247.265,$242.38
04/01/2022,$249.25,2023154,$248.12,$249.43,$246.18
03/31/2022,$247.28,3803454,$249.72,$251.35,$247.28
03/30/2022,$249.03,2227261,$247.51,$250.50,$247.51
03/29/2022,$248.17,2657596,$246.35,$248.65,$244.77
03/28/2022,$242.94,2041783,$241.91,$242.95,$239.86
03/25/2022,$241.58,2135024,$240.54,$241.85,$239.43
03/24/2022,$240.26,2337661,$237.56,$241.04,$236.47
03/23/2022,$236.12,2200593,$237.13,$238.01,$235.95
03/22/2022,$238.12,2938142,$237.04,$238.44,$236.47
03/21/2022,$235.32,3704020,$239.58,$240.09,$234.07
03/18/2022,$238.92,5336491,$237.23,$239.19,$235.99
03/17/2022,$237.47,3752945,$236.44,$237.47,$234.54
03/16/2022,$238.14,4173223,$234.87,$238.21,$234.36
03/15/2022,$232.57,5087427,$227.98,$234.565,$227.98
03/14/2022,$226.18,4436285,$226.78,$228.44,$223.16
03/11/2022,$226.87,6126339,$224.74,$229.11,$224.195
03/10/2022,$222.00,5444938,$220.20,$222.05,$217.675
03/09/2022,$222.47,5630456,$226.79,$227.25,$222.01
03/08/2022,$222.79,5258764,$224.33,$229.7369,$222.20
03/07/2022,$224.33,5425045,$234.31,$234.31,$224.19
03/04/2022,$235.81,4186494,$234.62,$236.394,$231.641
03/03/2022,$236.65,4707353,$241.01,$242.3368,$235.68
03/02/2022,$240.94,4482140,$240.85,$242.74,$239.61
03/01/2022,$239.63,3910650,$242.30,$243.5975,$238.30
02/28/2022,$244.77,4410429,$244.44,$245.7199,$242.36
02/25/2022,$249.45,4549747,$246.00,$249.53,$243.6288
02/24/2022,$245.03,4856005,$242.93,$245.58,$239.61
02/23/2022,$247.79,3497365,$253.53,$253.85,$247.08
02/22/2022,$252.70,3980514,$250.01,$254.70,$249.60
02/18/2022,$250.60,2813521,$250.34,$252.2891,$250.01
02/17/2022,$250.93,2831886,$251.48,$252.88,$250.00
02/16/2022,$253.09,2941810,$253.77,$254.60,$251.20
02/15/2022,$253.81,2171763,$254.82,$256.92,$253.56
02/14/2022,$253.39,2825835,$255.91,$256.25,$251.675
02/11/2022,$255.16,3592716,$256.87,$258.76,$254.73
02/10/2022,$256.87,3246762,$258.595,$260.44,$255.965
02/09/2022,$259.86,2379345,$261.99,$262.88,$259.41
02/08/2022,$260.08,2920071,$260.50,$262.38,$259.10
02/07/2022,$259.85,1959336,$261.00,$261.58,$259.17
02/04/2022,$260.06,1989682,$259.87,$261.73,$257.79
02/03/2022,$260.64,2242396,$262.00,$262.80,$260.07
02/02/2022,$262.28,2371460,$258.83,$262.61,$258.49
02/01/2022,$258.99,2496547,$259.75,$259.90,$255.58
01/31/2022,$259.45,3174167,$255.02,$259.50,$254.44
01/28/2022,$256.09,3833241,$250.00,$256.3453,$247.16
01/27/2022,$248.74,5201054,$249.60,$252.464,$245.25
01/26/2022,$249.85,3838994,$253.00,$254.21,$247.86
01/25/2022,$250.68,3908580,$250.83,$252.53,$247.0701
01/24/2022,$253.61,5155195,$252.38,$253.9176,$247.775
01/21/2022,$254.59,3738309,$254.04,$258.46,$253.685
01/20/2022,$253.13,2602190,$256.62,$258.11,$252.90
01/19/2022,$255.22,2304696,$257.55,$257.95,$255.08
01/18/2022,$256.48,3076591,$256.96,$257.10,$254.31
01/14/2022,$257.71,3460060,$261.14,$261.24,$257.16
01/13/2022,$261.41,2371250,$261.41,$263.85,$260.5883
