Date,Close/Last,Volume,Open,High,Low
01/22/2024,38001.81,N/A,37919.55,38109.20,37911.61
01/19/2024,37863.80,N/A,37572.50,37933.73,37451.71
01/18/2024,37468.61,N/A,37300.81,37522.29,37122.95
01/17/2024,37266.67,N/A,37281.86,37371.66,37132.89
01/16/2024,37361.12,N/A,37493.54,37543.18,37201.39
01/12/2024,37592.98,N/A,37818.05,37825.27,37470.19
01/11/2024,37711.02,N/A,37747.14,37801.90,37424.28
01/10/2024,37695.73,N/A,37552.91,37740.77,37524.40
01/09/2024,37525.16,N/A,37523.55,37552.38,37373.30
01/08/2024,37683.01,N/A,37327.37,37692.92,37249.24
01/05/2024,37466.11,N/A,37455.46,37623.62,37323.82
01/04/2024,37440.34,N/A,37425.28,37716.41,37425.28
01/03/2024,37430.19,N/A,37629.23,37629.23,37401.85
01/02/2024,37715.04,N/A,37566.22,37790.08,37495.91
12/29/2023,37689.54,N/A,37701.63,37759.43,37538.80
12/28/2023,37710.10,N/A,37661.52,37778.85,37650.98
12/27/2023,37656.52,N/A,37518.62,37683.70,37488.60
12/26/2023,37545.33,N/A,37405.90,37617.99,37371.83
12/22/2023,37385.97,N/A,37349.27,37534.52,37268.88
12/21/2023,37404.35,N/A,37225.32,37418.76,37127.05
12/20/2023,37082.00,N/A,37520.13,37641.30,37073.04
12/19/2023,37557.92,N/A,37311.82,37562.83,37311.82
12/18/2023,37306.02,N/A,37330.14,37393.45,37284.85
12/15/2023,37305.16,N/A,37194.50,37347.60,37092.02
12/14/2023,37248.35,N/A,37115.63,37287.50,37051.52
12/13/2023,37090.24,N/A,36601.80,37094.85,36523.59
12/12/2023,36577.94,N/A,36442.10,36596.11,36373.22
12/11/2023,36404.93,N/A,36254.33,36416.18,36231.19
12/08/2023,36247.87,N/A,36084.82,36296.20,36061.64
12/07/2023,36117.38,N/A,36124.17,36164.17,36021.95
12/06/2023,36054.43,N/A,36183.73,36292.58,36024.25
12/05/2023,36245.50,N/A,36245.50,36245.50,36245.50
12/04/2023,36245.50,N/A,36245.50,36245.50,36245.50
12/01/2023,36245.50,N/A,35914.45,36264.85,35914.45
11/30/2023,35950.89,N/A,35596.57,35970.70,35592.22
11/29/2023,35430.42,N/A,35436.80,35579.13,35405.89
11/28/2023,35416.98,N/A,35332.13,35518.67,35307.73
11/27/2023,35333.47,N/A,35376.44,35410.37,35280.57
11/24/2023,35390.15,N/A,35299.90,35399.44,35299.90
11/22/2023,35273.03,N/A,35189.33,35315.20,35155.80
11/21/2023,35088.29,N/A,35104.84,35118.04,35038.44
11/20/2023,35151.04,N/A,34932.49,35227.48,34907.98
11/17/2023,34947.28,N/A,34964.82,35028.22,34882.82
11/16/2023,34945.47,N/A,34868.03,35022.46,34818.03
11/15/2023,34991.21,N/A,34906.72,35051.10,34868.48
11/14/2023,34827.70,N/A,34581.20,34931.01,34581.20
11/13/2023,34337.87,N/A,34259.25,34405.84,34205.81
11/10/2023,34283.10,N/A,34020.82,34310.36,33905.62
11/09/2023,33891.94,N/A,34163.71,34167.54,33859.77
11/08/2023,34112.27,N/A,34185.92,34252.75,33996.20
11/07/2023,34152.60,N/A,34075.65,34206.98,34026.72
11/06/2023,34095.86,N/A,34092.61,34167.26,33989.72
11/03/2023,34061.32,N/A,33988.83,34163.63,33946.60
11/02/2023,33839.08,N/A,33457.82,33852.96,33450.03
11/01/2023,33274.58,N/A,33081.87,33337.15,33010.85
10/31/2023,33052.87,N/A,33029.11,33070.28,32787.12
10/30/2023,32928.96,N/A,32537.54,33002.97,32537.54
10/27/2023,32417.59,N/A,32782.40,32787.56,32327.20
10/26/2023,32784.30,N/A,33017.17,33105.03,32743.99
10/25/2023,33035.93,N/A,33203.53,33267.91,32989.72
10/24/2023,33141.38,N/A,33089.64,33272.19,32988.43
10/23/2023,32936.41,N/A,32993.02,33234.85,32892.19
10/20/2023,33127.28,N/A,33365.27,33425.77,33118.12
10/19/2023,33414.17,N/A,33669.52,33852.39,33368.58
10/18/2023,33665.08,N/A,33960.25,33991.51,33598.64
10/17/2023,33997.65,N/A,33869.84,34147.63,33854.70
10/16/2023,33984.54,N/A,33832.42,34088.98,33832.42
10/13/2023,33670.29,N/A,33733.34,33957.72,33551.58
10/12/2023,33631.14,N/A,33845.65,33863.80,33455.60
10/11/2023,33804.87,N/A,33822.20,33882.55,33612.25
10/10/2023,33739.30,N/A,33683.41,33898.22,33604.32
